EmployeeID,Department,Salary,JoiningDate
e269,hr,8779.945,2025-08-22
e270,finance,8779.945,2020-08-28
e271,finance,2896.13,2021-04-28
e272,hr,10158.69,2023-03-03
e273,finance,8779.945,2025-07-26
e274,finance,1433.9,2026-03-16
e275,it,8779.945,2024-03-05
e276,ops,8779.945,2023-05-27
e277,finance,12373.25,2023-07-22
e278,hr,8087.94,2021-06-05
e279,finance,8779.945,2023-10-10
e280,finance,8779.945,2019-04-03
e281,finance,7677.32,2025-09-16
e282,it,8779.945,2018-11-25
e283,finance,8779.945,2020-04-22
e284,sales,8779.945,2024-05-08
e285,finance,7519.68,2022-01-09
e286,sales,8779.945,2022-09-13
e287,hr,8779.945,2025-08-02
e288,finance,8779.945,2024-07-18
e289,finance,8779.945,2026-01-26
e290,it,3763.2,2024-12-31
e291,hr,8779.945,2022-07-13
e292,finance,9143.0,2024-09-02
e293,it,14355.09,2018-08-11
e294,sales,8779.945,2020-12-24
e295,sales,8779.945,2022-08-01
e296,finance,8779.945,2024-01-20
e297,finance,4330.5,2023-07-11
e298,sales,4986.41,2019-05-02
e299,it,8779.945,2021-06-13
e300,it,8779.945,2024-07-12
